run_tag,config_id,window,n_completed,mean_gross_pct,mean_net_old_pct,mean_net_new_pct,mean_net_diff_pp,mean_drag_old_pp,mean_drag_new_pp,total_profit_old_yuan,total_profit_new_yuan,total_fees_old_yuan,total_fees_new_yuan
R1,H2-pullback-h3,validation,2846,-0.7988042278956373,-0.9136419799851107,-0.8979806295673237,0.015661350417786945,0.11483775208947353,0.09917640167168658,-1271944.527833496,-1250390.1543081999,159707.46272646618,138153.08920116973
R1,H2-pullback-h5,dev,4222,-1.3581581806287104,-1.5091779775049847,-1.456775368151201,0.0524026093537838,0.15101979687627448,0.09861718752249067,-3058957.7653153026,-2951792.331537755,309533.5936487971,202368.15987125013
R1,H2-pullback-h5,validation,2841,-1.341742712614584,-1.4559491192938832,-1.4403763115022477,0.015572807791635623,0.11420640667929921,0.09863359888766358,-2013116.8427455989,-1991800.467563072,158661.97002798918,137345.5948454618
R2,R2-gapdown-recovery-h5,dev,4099,-1.6065649100713282,-1.7571442301943574,-1.7049337529505377,0.05221047724381961,0.15057932012302885,0.09836884287920925,-3518486.3619375173,-3413956.0283792587,302283.7526012568,197753.41904299782
R2,R2-gapdown-recovery-h5,validation,2760,-2.6450664140487072,-2.757978891651015,-2.7423970149844252,0.015581876666589868,0.11291247760230763,0.09733060093571777,-3740929.848175685,-3720288.3845263254,153290.46210981102,132648.9984604506
R2,R2-lowvol-dip-h5,dev,3870,-0.11972079949145005,-0.2723769757317488,-0.21957611486311573,0.05280086086863303,0.15265617624029876,0.09985531537166574,-523225.5370487814,-423039.35596533085,289700.2891475246,189514.10806407407
R2,R2-lowvol-dip-h5,validation,2842,0.06311998280496105,-0.05278464369375849,-0.03691812765023033,0.015866516043528147,0.11590462649871953,0.10003811045519138,-51740.85668983483,-30021.731248679473,159603.990791732,137884.86535057644
R2,R2-near52w-dip-h5,dev,3487,0.3291430120385274,0.17695945256129936,0.2288389450432379,0.051879492481938516,0.15218355947722803,0.10030406699528951,269042.5545588712,356695.127674927,256872.8436647231,169220.2705486677
R2,R2-near52w-dip-h5,validation,2876,-0.22595184704203766,-0.3412550972321077,-0.32570095791727716,0.015554139314830594,0.11530325019007003,0.09974911087523944,-456785.01284154895,-435183.7025825,161702.44333191725,140101.1330728678
R2,R2-squeeze-breakout-h5,dev,3978,-0.44812405889393625,-0.6006437006606753,-0.5476510530864943,0.05299264757418094,0.15251964176673902,0.09952699419255807,-1189041.9126079895,-1085319.666721723,298713.1543175487,194990.90843128218
R2,R2-squeeze-breakout-h5,validation,2621,-0.9027503170805443,-1.0178333757540325,-1.0018227986430732,0.016010577110959132,0.11508305867348799,0.09907248156252887,-1320405.1161455363,-1299838.054362491,148693.0597407423,128125.99795769641
R2,R2-turnover-capitulation-h5,dev,2882,-1.3159471025002187,-1.4657784248310892,-1.414606490550706,0.05117193428038328,0.14983132233087088,0.09865938805048759,-2069445.740118967,-1997101.0355111153,212316.7508659123,139972.0462580602
