date,session,cash,pending_am_to_pm,pending_next_day,equity_snapshot,host_recomputed,reconcile_abs_diff,positions,marks,month_end
2019-09-20,am,96069.99999999996,0.0,0.0,215867.89999999997,215867.89999999997,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.21|sh.518880:3.401|sz.159934:3.373,false
2019-09-20,pm,96069.99999999996,0.0,0.0,216159.19999999995,216159.19999999995,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.268|sh.518880:3.412|sz.159934:3.384,false
2019-09-23,am,96069.99999999996,0.0,0.0,216159.19999999995,216159.19999999995,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.268|sh.518880:3.412|sz.159934:3.384,false
2019-09-23,pm,96069.99999999996,0.0,0.0,216899.59999999998,216899.59999999998,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.329|sh.518880:3.441|sz.159934:3.413,false
2019-09-24,am,96069.99999999996,0.0,0.0,216899.59999999998,216899.59999999998,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.329|sh.518880:3.441|sz.159934:3.413,false
2019-09-24,pm,96069.99999999996,0.0,0.0,217357.99999999994,217357.99999999994,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.28|sh.518880:3.46|sz.159934:3.432,false
2019-09-25,am,96069.99999999996,0.0,0.0,217357.99999999994,217357.99999999994,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.28|sh.518880:3.46|sz.159934:3.432,false
2019-09-25,pm,96069.99999999996,0.0,0.0,217856.59999999998,217856.59999999998,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.282|sh.518880:3.48|sz.159934:3.452,false
2019-09-26,am,96069.99999999996,0.0,0.0,217856.59999999998,217856.59999999998,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.282|sh.518880:3.48|sz.159934:3.452,false
2019-09-26,pm,96069.99999999996,0.0,0.0,216690.3,216690.29999999996,2.9103830456733704e-11,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.254|sh.518880:3.434|sz.159934:3.405,false
2019-09-27,am,96069.99999999996,0.0,0.0,216690.3,216690.29999999996,2.9103830456733704e-11,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.254|sh.518880:3.434|sz.159934:3.405,false
2019-09-27,pm,96069.99999999996,0.0,0.0,215902.89999999997,215902.89999999997,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.161|sh.518880:3.404|sz.159934:3.374,false
2019-09-30,am,96069.99999999996,0.0,0.0,215902.89999999997,215902.89999999997,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.161|sh.518880:3.404|sz.159934:3.374,false
2019-09-30,pm,96069.99999999996,0.0,0.0,215800.09999999998,215800.09999999998,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.399|sh.518880:3.396|sz.159934:3.368,true
2019-10-08,am,96069.99999999996,0.0,0.0,215800.09999999998,215800.09999999998,0.0,sh.511010:300|sh.518880:12400|sz.159934:12500,sh.511010:118.399|sh.518880:3.396|sz.159934:3.368,false
2019-10-08,pm,94030.79999999996,0.0,0.0,215635.49999999997,215635.49999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.351|sh.518880:3.39|sz.159934:3.363,false
2019-10-09,am,94030.79999999996,0.0,0.0,215635.49999999997,215635.49999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.351|sh.518880:3.39|sz.159934:3.363,false
2019-10-09,pm,94030.79999999996,0.0,0.0,216931.59999999995,216931.59999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.464|sh.518880:3.44|sz.159934:3.412,false
2019-10-10,am,94030.79999999996,0.0,0.0,216931.59999999995,216931.59999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.464|sh.518880:3.44|sz.159934:3.412,false
2019-10-10,pm,94030.79999999996,0.0,0.0,216431.29999999996,216431.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.369|sh.518880:3.422|sz.159934:3.393,false
2019-10-11,am,94030.79999999996,0.0,0.0,216431.29999999996,216431.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.369|sh.518880:3.422|sz.159934:3.393,false
2019-10-11,pm,94030.79999999996,0.0,0.0,216016.69999999995,216016.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.304|sh.518880:3.405|sz.159934:3.379,false
2019-10-14,am,94030.79999999996,0.0,0.0,216016.69999999995,216016.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.304|sh.518880:3.405|sz.159934:3.379,false
2019-10-14,pm,94030.79999999996,0.0,0.0,214741.49999999994,214741.49999999997,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.261|sh.518880:3.356|sz.159934:3.329,false
2019-10-15,am,94030.79999999996,0.0,0.0,214741.49999999994,214741.49999999997,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.261|sh.518880:3.356|sz.159934:3.329,false
2019-10-15,pm,94030.79999999996,0.0,0.0,214954.59999999995,214954.59999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.291|sh.518880:3.363|sz.159934:3.338,false
2019-10-16,am,94030.79999999996,0.0,0.0,214954.59999999995,214954.59999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.291|sh.518880:3.363|sz.159934:3.338,false
2019-10-16,pm,94030.79999999996,0.0,0.0,214606.99999999994,214606.99999999994,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.28|sh.518880:3.35|sz.159934:3.324,false
2019-10-17,am,94030.79999999996,0.0,0.0,214606.99999999994,214606.99999999994,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.28|sh.518880:3.35|sz.159934:3.324,false
2019-10-17,pm,94030.79999999996,0.0,0.0,215234.3,215234.29999999996,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.331|sh.518880:3.374|sz.159934:3.348,false
2019-10-18,am,94030.79999999996,0.0,0.0,215234.3,215234.29999999996,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.331|sh.518880:3.374|sz.159934:3.348,false
2019-10-18,pm,94030.79999999996,0.0,0.0,215109.69999999995,215109.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.256|sh.518880:3.371|sz.159934:3.343,false
2019-10-21,am,94030.79999999996,0.0,0.0,215109.69999999995,215109.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.256|sh.518880:3.371|sz.159934:3.343,false
2019-10-21,pm,94030.79999999996,0.0,0.0,215025.69999999995,215025.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.018|sh.518880:3.369|sz.159934:3.344,false
2019-10-22,am,94030.79999999996,0.0,0.0,215025.69999999995,215025.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.018|sh.518880:3.369|sz.159934:3.344,false
2019-10-22,pm,94030.79999999996,0.0,0.0,214696.49999999994,214696.49999999997,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.111|sh.518880:3.356|sz.159934:3.329,false
2019-10-23,am,94030.79999999996,0.0,0.0,214696.49999999994,214696.49999999997,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.111|sh.518880:3.356|sz.159934:3.329,false
2019-10-23,pm,94030.79999999996,0.0,0.0,215090.99999999994,215090.99999999994,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.151|sh.518880:3.371|sz.159934:3.344,false
