event_id,symbol,announcement_version,ann_date,decision_time,start_timestamp,type_upgrade,numeric_revision,numeric_available,admission_rank,risk_state,held_seats,pending_seats,category,issued,order_price_first,order_price_last,n_submissions,order_outcomes,fill_day,fill_price,decision_anchor_price,skip_or_cancel_reason,diag_ret_from_decision_20,diag_ret_from_announcement_20,ret_from_fill_cost_20,decision_to_fill_price_ret,label_end_decision,window_complete,crosses_dev_boundary,matched_control_return,pool_mean_20,pool_n,pool_n_complete,actual_net_pnl,buy_cost,pnl_over_buy_cost,sell_proceeds,dividend_cash,outcome
B1|sz.002098|20181231|a2019-01-31|u0,sz.002098,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,7.96,slot_full,0.18341708542713508,0.33887468030690493,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002129|20181231|a2019-01-31|u0,sz.002129,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,2,normal,4,0,slot_full,false,,,0,{},,,8.84,slot_full,0.129943502824859,0.18668252080856163,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002181|20181231|a2019-01-31|u0,sz.002181,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,3,normal,4,0,slot_full,false,,,0,{},,,3.99,slot_full,0.41645885286783013,0.6211340206185563,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002270|20181231|a2019-01-31|u0,sz.002270,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,4,normal,4,0,slot_full,false,,,0,{},,,4.19,slot_full,0.22248803827751273,0.3965517241379315,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002328|20181231|a2019-01-31|u0,sz.002328,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,5,normal,4,0,slot_full,false,,,0,{},,,5.34,slot_full,0.3199268738574039,0.4942748091603051,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002510|20181231|a2019-01-31|u0,sz.002510,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,6,normal,4,0,slot_full,false,,,0,{},,,3.88,slot_full,0.15949367088607636,0.2729658792650922,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002575|20181231|a2019-01-31|u0,sz.002575,20181231#u0,2019-01-31,2019-02-01 am,2019-02-01 am,false,true,true,7,normal,4,0,slot_full,false,,,0,{},,,7.35,slot_full,0.2350543478260867,0.4428571428571424,,,2019-03-08,true,false,0.2059732234809475,0.25907147575938855,985,985,,,,,,never_seen
B1|sz.002099|20190331|a2019-04-09|u0,sz.002099,20190331#u0,2019-04-09,2019-04-10 am,2019-04-10 am,false,true,true,1,normal,0,0,issued,true,10.69,10.69,2,"{""not_penetrated"": 2}",,,10.69,cancel_cap,-0.22637979420018706,-0.1430041152263375,,,2019-05-13,true,false,-0.15052508751458582,-0.13599083401074386,2260,2259,,,,,,cancel_cap
B1|sz.002575|20190331|a2019-04-09|u0,sz.002575,20190331#u0,2019-04-09,2019-04-10 am,2019-04-10 am,false,true,true,2,normal,0,1,issued,true,9.09,9.09,1,"{""filled_limit_buy"": 1}",2019-04-10,9.09,9.09,"",-0.183425414364641,-0.15967365967365976,-0.187018701870187,0.0,2019-05-13,true,false,-0.15052508751458582,-0.13599083401074386,2260,2259,-10376.6702,52727.2722,-0.1967989195541961,42350.602,0.0,filled
B1|sz.000996|20181231|a2019-04-10|u0,sz.000996,20181231#u0,2019-04-10,2019-04-11 am,2019-04-11 am,false,true,true,1,normal,1,0,issued,true,16.34,16.34,1,"{""filled_limit_buy"": 1}",2019-04-11,16.34,16.34,"",-0.1504263093788063,-0.11255411255411252,-0.14626682986536088,0.0,2019-05-14,true,false,-0.1404494382022471,-0.1265977768810568,2260,2259,-1149.5487999999968,52293.2288,-0.021982746645776,51143.68,0.0,filled
