event_id,symbol,end_date,ann_date,update_flag,source_rows_matched,has_previous_version,funnel_type_upgrade,recomputed_type_upgrade,type_upgrade_match,funnel_numeric_revision,recomputed_numeric_revision,numeric_revision_match,funnel_numeric_available,recomputed_numeric_available,numeric_available_match,current_type,previous_type,current_net_profit_min,current_net_profit_max,previous_net_profit_min,previous_net_profit_max
B1|sz.002429|20191231|a2020-02-03|u0,sz.002429,20191231,2020-02-03,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,97985.0,124708.0,80169.0,97985.0
B1|sz.002409|20200331|a2020-03-12|u0,sz.002409,20200331,2020-03-12,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,10200.0,12000.0,7000.0,8500.0
B1|sz.000813|20191231|a2020-03-31|u0,sz.000813,20191231,2020-03-31,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,27000.0,40500.0,21000.0,31500.0
B1|sz.002605|20200331|a2020-04-08|u0,sz.002605,20200331,2020-04-08,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,64162.0,68374.0,13162.0,17374.0
B1|sz.002258|20200331|a2020-04-11|u0,sz.002258,20200331,2020-04-11,0,1,True,False,False,True,True,True,True,True,True,True,略增,略增,8000.0,8600.0,5000.0,7300.0
B1|sz.002312|20200331|a2020-04-15|u0,sz.002312,20200331,2020-04-15,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,600.0,900.0,-1200.0,-800.0
B1|sz.002384|20200630|a2020-06-09|u0,sz.002384,20200630,2020-06-09,0,1,True,False,False,True,True,True,True,True,True,True,略增,略增,50294.0,56329.0,44259.0,52306.0
B1|sz.002585|20200630|a2020-06-30|u0,sz.002585,20200630,2020-06-30,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,20000.0,24000.0,16000.0,20000.0
B1|sz.002702|20200630|a2020-07-02|u0,sz.002702,20200630,2020-07-02,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,4000.0,5000.0,2000.0,3000.0
B1|sz.002709|20200630|a2020-07-07|u0,sz.002709,20200630,2020-07-07,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,30500.0,32500.0,19500.0,25350.0
