record_type,key,symbol,family,anchor_date,label_end_at,n_own_sessions,n_market_sessions,window_complete,crosses_dev_boundary,censoring_reason,retained,deleted,funnel_label_end_decision,label_end_match,note
b1_event_window,B1|sz.002869|20190630|a2019-07-12|u0,sz.002869,B1,2019-07-15,2019-08-12,20,20,True,False,,True,False,2019-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002835|20190630|a2019-07-15|u1,sz.002835,B1,2019-07-16,2019-08-13,20,20,True,False,,True,False,2019-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002299|20190930|a2019-10-09|u1,sz.002299,B1,2019-10-10,2019-11-07,20,20,True,False,,True,False,2019-11-07,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002318|20190930|a2019-10-09|u1,sz.002318,B1,2019-10-10,2019-11-07,20,20,True,False,,True,False,2019-11-07,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002639|20190930|a2019-10-11|u0,sz.002639,B1,2019-10-14,2019-11-11,20,20,True,False,,True,False,2019-11-11,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002151|20190930|a2019-10-15|u1,sz.002151,B1,2019-10-16,2019-11-13,20,20,True,False,,True,False,2019-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002429|20190930|a2019-10-15|u0,sz.002429,B1,2019-10-16,2019-11-13,20,20,True,False,,True,False,2019-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002481|20190930|a2019-10-15|u0,sz.002481,B1,2019-10-16,2019-11-13,20,20,True,False,,True,False,2019-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002628|20190930|a2019-10-15|u0,sz.002628,B1,2019-10-16,2019-11-13,20,20,True,False,,True,False,2019-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002709|20190930|a2019-10-15|u0,sz.002709,B1,2019-10-16,2019-11-13,20,20,True,False,,True,False,2019-11-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002512|20190930|a2019-10-16|u0,sz.002512,B1,2019-10-17,2019-11-14,20,20,True,False,,True,False,2019-11-14,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002299|20191231|a2020-01-04|u0,sz.002299,B1,2020-01-06,2020-02-11,20,20,True,False,,True,False,2020-02-11,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002182|20191231|a2020-01-20|u0,sz.002182,B1,2020-01-21,2020-02-26,20,20,True,False,,True,False,2020-02-26,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002489|20191231|a2020-01-20|u0,sz.002489,B1,2020-01-21,2020-02-26,20,20,True,False,,True,False,2020-02-26,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002903|20191231|a2020-01-21|u0,sz.002903,B1,2020-01-22,2020-02-27,20,20,True,False,,True,False,2020-02-27,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002184|20191231|a2020-01-31|u0,sz.002184,B1,2020-02-03,2020-03-02,20,20,True,False,,True,False,2020-03-02,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002335|20191231|a2020-01-31|u0,sz.002335,B1,2020-02-03,2020-03-02,20,20,True,False,,True,False,2020-03-02,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002941|20191231|a2020-01-31|u0,sz.002941,B1,2020-02-03,2020-03-02,20,20,True,False,,True,False,2020-03-02,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002429|20191231|a2020-02-03|u0,sz.002429,B1,2020-02-04,2020-03-03,20,20,True,False,,True,False,2020-03-03,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002409|20200331|a2020-03-12|u0,sz.002409,B1,2020-03-13,2020-04-13,20,20,True,False,,True,False,2020-04-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.000813|20191231|a2020-03-31|u0,sz.000813,B1,2020-04-01,2020-04-30,20,20,True,False,,True,False,2020-04-30,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002605|20200331|a2020-04-08|u0,sz.002605,B1,2020-04-09,2020-05-12,20,20,True,False,,True,False,2020-05-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002258|20200331|a2020-04-11|u0,sz.002258,B1,2020-04-13,2020-05-14,20,20,True,False,,True,False,2020-05-14,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002312|20200331|a2020-04-15|u0,sz.002312,B1,2020-04-16,2020-05-19,20,20,True,False,,True,False,2020-05-19,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002384|20200630|a2020-06-09|u0,sz.002384,B1,2020-06-10,2020-07-10,20,20,True,False,,True,False,2020-07-10,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002585|20200630|a2020-06-30|u0,sz.002585,B1,2020-07-01,2020-07-29,20,20,True,False,,True,False,2020-07-29,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002702|20200630|a2020-07-02|u0,sz.002702,B1,2020-07-03,2020-07-31,20,20,True,False,,True,False,2020-07-31,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002709|20200630|a2020-07-07|u0,sz.002709,B1,2020-07-08,2020-08-05,20,20,True,False,,True,False,2020-08-05,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002803|20200630|a2020-07-07|u0,sz.002803,B1,2020-07-08,2020-08-05,20,20,True,False,,True,False,2020-08-05,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002223|20200630|a2020-07-08|u0,sz.002223,B1,2020-07-09,2020-08-06,20,20,True,False,,True,False,2020-08-06,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002324|20200630|a2020-07-11|u0,sz.002324,B1,2020-07-13,2020-08-11,20,21,True,False,,True,False,2020-08-11,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002489|20200630|a2020-07-13|u0,sz.002489,B1,2020-07-14,2020-08-11,20,20,True,False,,True,False,2020-08-11,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
