day,sess,symbol,reason,source
2016-06-14,am,sz.002405,stop,2016-06-14
2016-06-14,pm,sz.002211,account_trim,2016-05-31
2016-06-14,pm,sz.002488,account_trim,2016-05-31
2016-06-14,pm,sz.002749,account_trim,2016-05-31
2016-06-20,am,sz.002405,stop,2016-06-20
2016-06-20,pm,sz.002749,account_trim,2016-05-31
2016-06-22,am,sz.002211,stop,2016-06-22
2016-06-30,pm,sz.002211,seat_exit,2016-06-30
2016-06-30,pm,sz.002405,seat_exit,2016-06-30
2016-06-30,pm,sz.002469,seat_exit,2016-06-30
2016-06-30,pm,sz.002488,seat_exit,2016-06-30
2016-06-30,pm,sz.002749,seat_exit,2016-06-30
2016-07-15,am,sh.600120,take_half,2016-07-15
2016-07-18,am,sh.600120,clear,2016-07-18
2016-07-18,am,sz.002312,stop,2016-07-18
2016-07-19,am,sh.600120,clear,2016-07-18
2016-07-19,pm,sh.600120,clear,2016-07-18
2016-07-20,pm,sh.600120,clear,2016-07-18
2016-07-21,pm,sh.600120,clear,2016-07-18
2016-07-22,pm,sh.600120,clear,2016-07-18
2016-07-25,am,sh.600120,clear,2016-07-18
2016-07-25,pm,sh.600120,clear,2016-07-18
2016-07-26,pm,sh.600120,clear,2016-07-18
2016-07-27,pm,sh.600120,clear,2016-07-18
2016-07-28,pm,sh.600120,clear,2016-07-18
2016-07-29,pm,sh.600120,seat_exit,2016-07-29
2016-07-29,pm,sz.000703,seat_exit,2016-07-29
2016-07-29,pm,sz.002312,seat_exit,2016-07-29
2016-07-29,pm,sz.002400,seat_exit,2016-07-29
2016-07-29,pm,sz.002469,seat_exit,2016-07-29
2016-07-29,pm,sh.600120,clear,2016-07-18
2016-08-10,am,sh.600751,stop,2016-08-10
2016-08-17,pm,sh.600807,account_trim,2016-07-29
2016-08-31,pm,sh.600556,seat_exit,2016-08-31
2016-08-31,pm,sh.600751,seat_exit,2016-08-31
2016-08-31,pm,sh.600807,seat_exit,2016-08-31
2016-08-31,pm,sz.002514,seat_exit,2016-08-31
2016-09-30,pm,sz.002076,seat_exit,2016-09-30
2016-09-30,pm,sz.002112,seat_exit,2016-09-30
2016-09-30,pm,sz.002291,seat_exit,2016-09-30
2016-09-30,pm,sz.002488,seat_exit,2016-09-30
2016-10-31,pm,sh.600173,seat_exit,2016-10-31
2016-10-31,pm,sz.000912,seat_exit,2016-10-31
2016-10-31,pm,sz.002266,seat_exit,2016-10-31
2016-10-31,pm,sz.002472,seat_exit,2016-10-31
2016-11-03,am,sz.000912,take_half,2016-11-03
2016-11-03,pm,sz.000912,take_half,2016-11-03
2016-11-04,pm,sz.000912,clear,2016-11-04
2016-11-07,am,sz.000912,clear,2016-11-04
2016-11-11,am,sz.002679,account_trim,2016-10-31
2016-11-14,am,sz.002679,take_half,2016-11-14
2016-11-18,pm,sz.002679,clear,2016-11-18
2016-11-21,am,sz.002679,clear,2016-11-18
2016-11-22,am,sz.002679,clear,2016-11-18
2016-11-22,pm,sz.002679,clear,2016-11-18
2016-11-23,pm,sz.002679,clear,2016-11-18
2016-11-24,am,sh.601789,protection,2016-11-24
2016-11-24,pm,sh.601789,protection,2016-11-24
2016-11-24,pm,sz.002679,clear,2016-11-18
2016-11-25,pm,sz.002679,clear,2016-11-18
2016-11-28,am,sz.002621,take_half,2016-11-28
2016-11-28,pm,sz.002621,take_half,2016-11-28
2016-11-28,pm,sz.002679,clear,2016-11-18
2016-11-29,am,sz.002679,clear,2016-11-18
2016-11-29,pm,sz.002621,clear,2016-11-29
2016-11-30,am,sz.002679,clear,2016-11-18
2016-11-30,pm,sh.601789,seat_exit,2016-11-30
2016-11-30,pm,sz.002405,seat_exit,2016-11-30
2016-11-30,pm,sz.002679,seat_exit,2016-11-30
2016-11-30,pm,sz.002679,clear,2016-11-18
2016-12-01,am,sz.002679,clear,2016-11-18
2016-12-23,am,sh.600691,account_trim,2016-11-30
2016-12-30,pm,sh.600614,seat_exit,2016-12-30
2016-12-30,pm,sh.600691,seat_exit,2016-12-30
2016-12-30,pm,sz.002389,seat_exit,2016-12-30
2016-12-30,pm,sz.002785,seat_exit,2016-12-30
2017-01-25,am,sh.600215,stop,2017-01-25
2017-01-26,pm,sh.600215,seat_exit,2017-01-26
2017-01-26,pm,sz.000538,seat_exit,2017-01-26
2017-01-26,pm,sz.002480,seat_exit,2017-01-26
2017-01-26,pm,sz.002596,seat_exit,2017-01-26
2017-02-28,pm,sh.600773,seat_exit,2017-02-28
2017-02-28,pm,sh.603227,seat_exit,2017-02-28
2017-02-28,pm,sz.002224,seat_exit,2017-02-28
2017-02-28,pm,sz.002694,seat_exit,2017-02-28
2017-03-01,am,sz.002694,stop,2017-03-01
2017-03-31,pm,sh.600500,seat_exit,2017-03-31
2017-03-31,pm,sz.002440,seat_exit,2017-03-31
2017-03-31,pm,sz.002481,seat_exit,2017-03-31
2017-03-31,pm,sz.002619,seat_exit,2017-03-31
2017-04-17,am,sz.002695,stop,2017-04-17
2017-04-19,am,sh.600745,protection,2017-04-19
2017-04-20,am,sz.000906,stop,2017-04-20
2017-04-20,am,sz.002801,stop,2017-04-20
2017-04-20,pm,sz.002801,stop,2017-04-20
2017-04-28,pm,sh.600745,seat_exit,2017-04-28
2017-04-28,pm,sz.000906,seat_exit,2017-04-28
2017-04-28,pm,sz.002695,seat_exit,2017-04-28
2017-05-02,am,sz.002582,clear,2016-03-17
2017-05-02,pm,sz.002582,clear,2016-03-17
2017-05-03,pm,sz.002582,clear,2016-03-17
2017-05-04,pm,sz.002582,clear,2016-03-17
2017-05-05,pm,sz.002582,clear,2016-03-17
2017-05-08,pm,sz.002582,clear,2016-03-17
2017-05-09,am,sz.002582,clear,2016-03-17
2017-05-10,am,sz.002582,clear,2016-03-17
2017-05-10,pm,sz.002582,clear,2016-03-17
2017-05-11,am,sz.002582,clear,2016-03-17
2017-05-12,am,sz.002582,clear,2016-03-17
2017-05-12,pm,sz.002582,clear,2016-03-17
2017-05-16,am,sz.002582,clear,2016-03-17
2017-05-16,pm,sz.002582,clear,2016-03-17
2017-05-17,pm,sz.002582,clear,2016-03-17
2017-05-18,am,sz.002582,clear,2016-03-17
2017-05-19,pm,sz.002582,clear,2016-03-17
2017-05-22,pm,sh.600678,stop,2017-05-22
2017-05-22,pm,sz.002582,clear,2016-03-17
2017-05-23,am,sz.002582,clear,2016-03-17
2017-05-23,pm,sh.600768,stop,2017-05-23
2017-05-24,am,sz.002582,clear,2016-03-17
2017-05-24,pm,sz.002582,clear,2016-03-17
2017-05-25,pm,sz.002582,clear,2016-03-17
2017-05-26,am,sz.002582,stop,2017-05-26
2017-05-31,pm,sh.600678,seat_exit,2017-05-31
2017-05-31,pm,sh.600768,seat_exit,2017-05-31
2017-05-31,pm,sz.002582,seat_exit,2017-05-31
2017-05-31,pm,sz.002801,seat_exit,2017-05-31
2017-06-16,am,sz.000723,stop,2017-06-16
2017-06-30,pm,sh.601258,seat_exit,2017-06-30
2017-06-30,pm,sh.601318,seat_exit,2017-06-30
2017-06-30,pm,sz.000723,seat_exit,2017-06-30
2017-06-30,pm,sz.002169,seat_exit,2017-06-30
2017-07-17,pm,sz.002717,stop,2017-07-17
2017-07-31,pm,sh.600582,seat_exit,2017-07-31
2017-07-31,pm,sh.600787,seat_exit,2017-07-31
2017-07-31,pm,sz.000768,seat_exit,2017-07-31
2017-07-31,pm,sz.002717,seat_exit,2017-07-31
2017-08-08,am,sh.601919,account_trim,2017-07-31
2017-08-31,pm,sh.600387,seat_exit,2017-08-31
2017-08-31,pm,sh.601919,seat_exit,2017-08-31
