factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B04,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D16,D17,D18,D19,D20,D30,E16,F06,F09,F10
D12,0.072,0.139,0.043,0.067,0.062,0.159,0.063,-0.154,-0.045,0.033,0.049,0.07,0.099,-0.102,0.153,0.075,0.07,0.038,0.05,-0.196,0.077,0.063,0.072,0.076,0.022,0.087,0.103,0.325,0.035,1.0,0.827,0.348,0.313,0.024,0.116,0.125,0.428,0.094,-0.125,0.04,0.045,0.076
D13,0.073,0.143,0.046,0.062,0.062,0.112,0.05,-0.109,-0.02,0.041,0.031,0.072,0.113,-0.112,0.098,0.039,0.032,0.01,0.05,-0.099,0.077,0.065,0.073,0.074,0.039,0.072,0.087,0.177,-0.051,0.827,1.0,0.357,0.208,-0.001,0.087,0.128,0.338,0.075,-0.126,0.025,0.052,0.053
D14,0.039,0.079,0.026,0.032,0.034,0.049,0.022,-0.048,-0.017,0.021,0.012,0.038,0.062,-0.054,0.077,0.009,0.007,-0.003,0.017,-0.059,0.04,0.035,0.042,0.038,0.025,0.071,0.09,0.133,0.005,0.348,0.357,1.0,0.14,0.033,0.034,0.108,-0.057,0.076,-0.033,0.007,0.03,0.021
D16,0.033,0.056,-0.0,0.069,0.055,0.11,0.039,-0.238,-0.107,-0.023,0.029,0.058,0.061,-0.034,0.837,-0.24,-0.254,-0.246,0.026,-0.207,0.025,-0.001,0.03,0.016,0.017,0.281,0.332,0.836,0.232,0.313,0.208,0.14,1.0,0.098,0.319,0.067,0.12,0.323,0.504,0.004,-0.03,-0.261
D17,0.027,0.042,0.017,0.028,0.024,-0.104,0.021,0.116,-0.033,0.013,0.017,0.022,0.027,-0.042,-0.034,0.054,0.057,0.043,0.01,-0.031,0.021,0.025,0.023,0.034,0.044,0.676,0.642,0.173,0.044,0.024,-0.001,0.033,0.098,1.0,-0.035,0.317,-0.055,0.561,0.089,-0.019,0.034,0.027
D18,0.042,0.065,0.027,0.042,0.04,0.043,0.039,-0.042,-0.039,0.016,0.026,0.043,0.06,-0.064,0.137,0.014,0.008,0.003,0.031,-0.1,0.042,0.025,0.047,0.037,0.052,0.031,0.185,0.34,0.065,0.116,0.087,0.034,0.319,-0.035,1.0,0.053,0.135,0.171,0.107,0.013,0.033,0.008
D19,0.023,0.038,0.016,0.018,0.017,0.015,0.009,-0.014,-0.014,0.016,0.004,0.02,0.033,-0.033,0.02,0.006,0.006,-0.002,0.005,-0.016,0.024,0.024,0.021,0.025,0.016,0.522,0.537,0.08,0.009,0.125,0.128,0.108,0.067,0.317,0.053,1.0,0.046,0.521,-0.007,-0.0,0.015,0.013
D20,0.056,0.1,0.035,0.052,0.049,0.127,0.057,-0.1,-0.043,0.023,0.048,0.052,0.066,-0.076,-0.004,0.102,0.099,0.07,0.042,-0.198,0.062,0.059,0.054,0.065,-0.009,-0.028,-0.022,0.171,0.039,0.428,0.338,-0.057,0.12,-0.055,0.135,0.046,1.0,-0.017,-0.131,0.054,0.035,0.116
D30,0.048,0.079,0.023,0.055,0.053,0.02,0.035,-0.075,-0.058,0.016,0.021,0.058,0.081,-0.071,0.212,-0.114,-0.122,-0.116,0.025,-0.052,0.044,0.026,0.046,0.038,0.061,0.878,0.938,0.357,0.154,0.094,0.075,0.076,0.323,0.561,0.171,0.521,-0.017,1.0,0.203,-0.001,0.028,-0.1
E16,-0.027,-0.046,-0.035,0.009,-0.002,-0.122,-0.038,-0.008,-0.04,-0.043,-0.024,-0.017,-0.047,0.063,0.618,-0.336,-0.341,-0.301,-0.04,0.137,-0.043,-0.057,-0.028,-0.055,0.024,0.192,0.207,0.328,0.159,-0.125,-0.126,-0.033,0.504,0.089,0.107,-0.007,-0.131,0.203,1.0,-0.039,-0.071,-0.352
F06,0.135,0.286,0.126,0.001,0.06,0.223,0.052,-0.134,0.162,-0.032,0.031,0.074,0.187,-0.184,-0.05,0.123,0.1,0.163,0.142,-0.188,0.136,0.123,0.147,0.137,-0.048,-0.004,0.002,0.018,-0.033,0.04,0.025,0.007,0.004,-0.019,0.013,-0.0,0.054,-0.001,-0.039,1.0,0.133,0.315
F09,0.816,0.448,0.705,0.33,0.502,0.176,0.462,-0.071,0.194,0.588,0.384,0.62,0.621,-0.28,-0.088,0.206,0.092,0.236,0.396,-0.101,0.803,0.655,0.8,0.8,0.502,0.026,0.031,0.022,0.006,0.045,0.052,0.03,-0.03,0.034,0.033,0.015,0.035,0.028,-0.071,0.133,1.0,0.146
F10,0.028,0.217,0.066,-0.074,-0.046,0.391,0.009,-0.074,0.103,0.024,0.012,-0.056,0.042,-0.25,-0.417,0.663,0.678,0.628,0.17,-0.239,0.038,0.104,0.047,0.084,-0.048,-0.099,-0.085,-0.115,-0.094,0.076,0.053,0.021,-0.261,0.027,0.008,0.013,0.116,-0.1,-0.352,0.315,0.146,1.0
