factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D17,D18,D19,D20,D21,D25,D30,E16,F02,F06,F09,F10
A22,0.43804266613812715,0.22838267042270965,0.33721186234011424,0.23859716889486632,0.38346376804615107,0.1856781327613946,0.9771143441467828,-0.06805861840165424,0.053177517263761076,0.305072938504366,1.0,0.38466925390833834,0.3565723724984425,-0.1907467823935811,0.1392854568290381,-0.08487454480608612,0.1960175857230495,0.8329404902236871,-0.09950276125930332,0.43131634554735887,0.3686503663025948,0.42375759137487645,0.43630128705384563,0.2565494175652585,0.022013833186555306,0.027760130790682024,0.08636543092473668,0.07034994063129009,0.05414019585245922,0.0385697488380086,0.01941661190056621,0.01832694705160937,0.03061876779513528,0.008749607078937587,0.04535043700320636,0.061811584800667826,-0.000760761904948233,0.03301880427391725,-0.0028488528303426083,-0.06353568359099995,0.03056595660133289,0.39956496968182514,-0.019795200659837295
A23,0.7768964381395623,0.4030633455432043,0.43624061889445115,0.6912764195629894,0.8649895341522273,0.02732528373498474,0.46110505585926975,-0.0224126858669681,0.1717863860672973,0.5402967009968764,0.38466925390833834,1.0,0.6888443135524791,-0.19510097875920615,-0.049405878623258966,-0.1103063352005198,-0.01617740008937581,0.34795334824216745,-0.10830102129142813,0.7700838093950477,0.6647020301268796,0.7462166140931956,0.7427927345391236,0.3950340034734728,0.056228286319780364,0.06221604339179135,0.1005705362247741,0.04567248377690341,0.08102566951437075,0.08253875705046769,0.044356111816195705,0.029551213174646915,0.04726196874728542,0.022849640240116584,0.055595715012137274,0.10118467929857482,0.0037059082945388685,0.06582143546363908,-0.005538880773890019,-0.08941504579317208,0.09564960435688728,0.6241928589410626,-0.07320074653009724
A24,0.7341250655776221,0.7518778642231908,0.5580768875374825,0.39777895258895096,0.5490781302548651,0.19352514137296453,0.4957886030269011,-0.12953298924553913,0.21551662952564468,0.4836441020860398,0.3565723724984425,0.6888443135524791,1.0,-0.43879479885273887,0.07475826510725152,-0.05343196249196797,0.11134999978111475,0.43169337554107545,-0.1535199469609882,0.7281995258601431,0.6285859806645501,0.7082182194733352,0.7165991106990081,0.376823329808398,0.07324126144377151,0.08345987687575482,0.11237206579364563,0.03879810397379851,0.111710212813862,0.12660551903298514,0.06945807416780021,0.03432884909406039,0.06395642518797814,0.03653660728761567,0.07356377637685867,0.14290702443731618,0.012984004079178723,0.08763002338336734,-0.04078026978456051,-0.10780384100640553,0.226463881125763,0.6374168033829076,0.042595834386683594
A25,-0.2844484678497257,-0.5319030832423619,-0.27033697752851293,-0.07710384824901532,-0.16577895941295437,-0.26657150520474204,-0.24456463680591656,0.14599686991824998,-0.0815691173321149,-0.1911280714873752,-0.1907467823935811,-0.19510097875920615,-0.43879479885273887,1.0,-0.2220564205985188,-0.14671214503809676,-0.22490413870968948,-0.3128721393296919,0.15093008610694011,-0.28299907318557765,-0.24904158347382674,-0.2785431217944821,-0.2921866037718041,-0.18184404432370446,-0.05494137018091778,-0.07235101388475694,-0.12455865528544909,-0.06961242037217492,-0.11626373264301136,-0.12295012563226826,-0.06270413344019855,-0.04855476617918768,-0.07641196064384276,-0.031512997107493584,-0.08690809797055093,-0.13018165886545466,-0.016931399085737243,-0.07423577747207925,0.049228454806632085,0.055237990524475,-0.21169523099532464,-0.29455232827396866,-0.25680760072712705
B09,0.0715629676401978,0.15362408648620665,0.12770899397512409,-0.08465137246639731,-0.05168214984819217,0.42651867779827485,0.13132687588592268,-0.13702734009361922,0.2220591929198589,0.11140861598619535,0.1392854568290381,-0.049405878623258966,0.07475826510725152,-0.2220564205985188,1.0,0.932851869304353,0.9371408049889559,0.22366200997583865,-0.057069213776469806,0.0777865957334917,0.14478430352571128,0.0787418687541969,0.1233307701849766,-0.007842468491569343,-0.10789079462054277,-0.09586399032233375,-0.08253947502828786,-0.04051917417990917,0.06422508305566202,0.0236400331352557,0.0004957733554593217,0.04423429645310308,0.01975516592113873,0.006648543958524169,0.09665708735064797,0.04340962625038327,0.05099967180583283,-0.10514859285472405,-0.32215777735807366,0.39693754303877316,0.12142077092846906,0.1978103224384279,0.6694811243322347
B10,-0.04477629762836319,0.0730843161901391,0.007647277745095628,-0.09884974370448436,-0.0971768201020926,0.3362660539027917,-0.09897139059952106,-0.09724799904901323,0.16504855715920455,0.03366530047038377,-0.08487454480608612,-0.1103063352005198,-0.05343196249196797,-0.14671214503809676,0.932851869304353,1.0,0.8331751339335172,0.005163112612161989,-0.04034369975812221,-0.03663592264512134,0.04880124338060432,-0.03638582483294959,0.006294385950281869,-0.07448477895883551,-0.11642010882391064,-0.10466643217575666,-0.09861041311465714,-0.05272803692824493,0.05810051298308409,0.01458223897428725,-0.002627152780317482,0.04598773405945005,0.012808711403651852,0.005751984393681425,0.09338383550976238,0.03189664039519328,0.05034800409169084,-0.11572702655506137,-0.3302995708646436,0.43322543667614527,0.09575322052659031,0.07873773388093766,0.6891702604699242
B11,0.11508033709595217,0.16520764377385613,0.15781877358210877,-0.0672811827754502,-0.019927864203100446,0.38762779989487234,0.18878990395454934,-0.0737273782110873,0.3329989997343439,0.1344747833447288,0.1960175857230495,-0.01617740008937581,0.11134999978111475,-0.22490413870968948,0.9371408049889559,0.8331751339335172,1.0,0.27482817360877193,-0.020009828139123047,0.12006924643535807,0.17128653632656196,0.12452260611603834,0.1637611785698913,0.02000830898426875,-0.10562745117281098,-0.09815658618156824,-0.11683322327942242,-0.06913525937483289,0.02567758783093275,-0.006365383193331455,-0.012944996177076602,0.03222129007807973,0.006312260057787255,-0.0011064303582334239,0.0635193492898524,0.009710340959138608,0.04422881867209454,-0.10949272514729971,-0.2907012453277365,0.33281022981645714,0.16498863169147313,0.2355676742653801,0.6364963543940546
B12,0.4138227489470144,0.38248168775399266,0.33496361983361556,0.1934088655209395,0.33182840509008416,0.30064659242060265,0.8440035467702943,-0.15755237555685722,0.1022005189008365,0.28030274918617015,0.8329404902236871,0.34795334824216745,0.43169337554107545,-0.3128721393296919,0.22366200997583865,0.005163112612161989,0.27482817360877193,1.0,-0.09971571946287175,0.4077636062673731,0.35374917334735717,0.4025384933397095,0.42165642586518004,0.2490707782277946,0.028572164432019705,0.0338604840711126,0.0773656149438947,0.05692930333328197,0.05157520237746262,0.05886979471328129,0.023877448506906488,0.010966958025113473,0.0322159024472563,0.011799778221619697,0.03731794538692346,0.06487953883588811,0.01518715418372445,0.04154223824530985,-0.012538239110809611,-0.09871132206542602,0.1512362319414841,0.4079242616412971,0.14247727430647578
B14,-0.13622178606831076,-0.2124459053967799,-0.09917284170766795,-0.0798150830781196,-0.10153801520192035,-0.567705576257101,-0.12287902838722406,0.5627930235216678,0.07141990961865491,-0.04753175622956627,-0.09950276125930332,-0.10830102129142813,-0.1535199469609882,0.15093008610694011,-0.057069213776469806,-0.04034369975812221,-0.020009828139123047,-0.09971571946287175,1.0,-0.13718197779506236,-0.13035489311888307,-0.13412469273105204,-0.15540930572517006,0.0640329002317167,-0.05190161872403462,-0.08022110675309012,-0.3063392923145194,0.040447671426462224,-0.21009512786533086,-0.11295791024918969,-0.07239752699117553,-0.043584278043140086,-0.11136664793471295,-0.018457722893843103,-0.20209187511566687,-0.19274816499654818,-0.028166989935422097,-0.06386164451210793,0.11564350099227545,0.05745521104145167,-0.19178718315012128,-0.10791923833770443,-0.2253108292013209
B15,0.9846488468033566,0.5007496652767379,0.8066963219169909,0.4304489271740275,0.6213876402221391,0.141465637926523,0.5170182815689299,-0.06811414413021823,0.18529592626229402,0.6463595122533914,0.43131634554735887,0.7700838093950477,0.7281995258601431,-0.28299907318557765,0.0777865957334917,-0.03663592264512134,0.12006924643535807,0.4077636062673731,-0.13718197779506236,1.0,0.8387138336404318,0.9542201226471171,0.9523072882795631,0.4600202941972636,0.04410538271277142,0.05148111600271429,0.08731423674224205,0.04194644818845164,0.084377411887843,0.08676150319676365,0.04756352933457179,0.02531463425374183,0.04816944491816271,0.02590497024058196,0.06478562917792315,0.10228321819628695,0.010713914839245994,0.0528204590386604,-0.0331511688301513,-0.07214574628794236,0.15434716562584688,0.8057413916003794,0.02268562563626615
