factor_id,t_ic,coverage,basic_pass,screen_pass
D03,1.237588368059792,0.9730893433799784,false,false
D04,1.6619977999943634,0.9994526546250684,false,false
D05,-0.45027648443962565,0.999530736743313,false,false
D06,0.3857048076674398,0.9751243781094527,false,false
D07,2.5414522633173076,0.9989235737351991,true,true
D08,2.8603403884538094,0.9989674754775426,true,true
D09,2.126429015793563,0.9994617868675996,true,true
D10,2.6796940148490527,0.999530736743313,true,true
D11,1.857779377901381,0.9992404101785036,false,false
D12,2.2886370081122873,0.9994617868675996,true,true
D13,2.729143727345358,0.9950839819746006,true,true
D14,3.7010745432647703,0.9679650527848562,true,true
D15,-1.5278216506273334,0.9988921713441654,false,false
D16,1.986409789932174,0.9982788296041308,false,false
D17,2.2646844933156913,0.998900293255132,true,true
D18,2.8950739189382277,0.999530736743313,true,true
D19,3.8499628287257974,0.9994617868675996,true,true
D20,2.6159301171785323,0.9985052316890882,true,true
D21,3.317266326947801,0.988673139158576,true,true
D22,1.406368004869346,0.9957594448727833,false,false
D23,1.237588368059792,0.9730893433799784,false,false
D24,1.036820630258074,0.998952331063384,false,false
D25,2.0066222224028967,0.980327868852459,true,true
D26,-0.3214238755492395,0.9990034877927254,false,false
D27,0.17354725559533432,0.5502413339183853,false,false
D28,-0.13855047499384773,0.9478575116159009,false,false
D29,-1.1580000810942044,0.998900293255132,false,false
D30,2.8425342385948165,0.999530736743313,true,true
E01,1.0241842044248568,0.31048387096774194,false,false
E02,1.0462165826212437,0.3115968877361986,false,false
E03,0.9218459358735895,0.31048387096774194,false,false
E04,0.30682056779945915,1.0,false,false
E05,-0.5006994581409626,1.0,false,false
E06,0.5617475301151204,0.33640383198231394,false,false
E07,0.6646121946857355,0.1781524926686217,false,false
E08,0.20453382173698403,0.10735351946519858,false,false
E09,1.3744272794429722,1.0,false,false
E10,0.6407155854526888,0.24787972243639167,false,false
E11,-1.5369686978429342,0.14432206608431447,false,false
E12,-0.6511221029637289,0.12646627565982405,false,false
E13,-4.562701434195674,0.04263245033112583,true,false
E14,-0.35124926841752707,0.018699038595094888,false,false
E15,0.8201996470609435,0.015634760131890944,false,false
E16,2.9520694813029777,0.7346182357301705,true,true
E17,1.5421312470329829,1.0,false,false
E18,-0.042322368284918706,1.0,false,false
E19,-1.6952889149245625,1.0,false,false
E20,-0.9906396577961873,0.08771716831936477,false,false
F01,-0.7164261590089809,1.0,false,false
F02,-2.244403407364789,0.9525256361564755,true,true
F03,-0.4912288602107217,0.9035054655107425,false,false
F04,-2.2170497132937057,1.0,false,false
F05,1.0731378056247436,1.0,false,false
F06,-2.8993273239125705,1.0,true,true
F07,1.013108605820287,1.0,false,false
F08,2.565380987302813,1.0,false,false
F09,-5.008966544818861,1.0,true,true
F10,-3.929945340789598,0.9886148007590133,true,true
