arm,symbol_source,order_id,symbol,side,intent,decision_date,decision_session,live_date,live_session,engine_event,engine_shares,engine_limit_price,engine_ref_price,matcher_filled,matcher_reason,matcher_status,matcher_fill_type,matcher_fill_date,matcher_fill_session,matcher_shares,matcher_price,matcher_commission,matcher_stamp_tax,matcher_fees_total,engine_fill_id,engine_fill_shares,engine_fill_price,engine_fill_commission,engine_fill_stamp_tax,engine_fill_fees_total,fill_fields_match,probe_mode,core_fields_match,note
A2,,sz.000548-sell/profit-2015-04-08-pm,sz.000548,sell,profit,2015-04-08,pm,2015-04-09,am,filled_limit_sell,2600,12.27,12.27,True,filled,full_fill,limit,2015-04-09,am,2600,12.27,5.00,31.90,36.90,F000009,2600,12.27,5.0,31.902,36.902,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.000748-sell/profit-2015-04-13-am,sz.000748,sell,profit,2015-04-13,am,2015-04-13,pm,filled_limit_sell,600,54.8,54.8,True,filled,full_fill,limit,2015-04-13,pm,600,54.8,5.00,32.88,37.88,F000010,600,54.8,5.0,32.88,37.88,True,full,True,strict penetration: session high > q; fill at q
A2,,sh.600536-sell/risk-2015-05-05-pm,sh.600536,sell,risk,2015-05-05,pm,2015-05-06,am,filled_limit_sell,900,42.84,42.84,True,filled,full_fill,limit,2015-05-06,am,900,42.84,5.00,38.56,43.56,F000011,900,42.84,5.0,38.556,43.556,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.000748-sell/profit-2015-05-13-am,sz.000748,sell,profit,2015-05-13,am,2015-05-13,pm,filled_limit_sell,500,59.34,59.34,True,filled,full_fill,limit,2015-05-13,pm,500,59.34,5.00,29.67,34.67,F000012,500,59.34,5.0,29.67,34.67,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.000024-sell/risk-2015-09-24-am,sz.000024,sell,risk,2015-09-24,am,2015-09-24,pm,not_penetrated,,28.48,28.48,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A2,,sz.000024-sell/risk-2015-09-24-pm,sz.000024,sell,risk,2015-09-24,pm,2015-09-25,am,filled_limit_sell,1700,28.48,28.48,True,filled,full_fill,limit,2015-09-25,am,1700,28.48,5.00,48.42,53.42,F000013,1700,28.48,5.0,48.416000000000004,53.416000000000004,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.002621-buy-2015-10-20-pm,sz.002621,buy,,2015-10-20,pm,2015-10-21,am,filled_limit_buy,2100,25.2,25.2,True,filled,full_fill,limit,2015-10-21,am,2100,25.2,5.29,0.00,5.29,F000014,2100,25.2,5.292,0.0,5.292,True,full,True,strict penetration: session low < p; fill at p
A2,,sh.603288-buy-2015-10-22-pm,sh.603288,buy,,2015-10-22,pm,2015-10-23,am,filled_limit_buy,1400,35.99,35.99,True,filled,full_fill,limit,2015-10-23,am,1400,35.99,5.04,0.00,5.04,F000015,1400,35.99,5.038600000000001,0.0,5.038600000000001,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.002095-buy-2015-10-22-pm,sz.002095,buy,,2015-10-22,pm,2015-10-23,am,filled_limit_buy,600,81.66,81.66,True,filled,full_fill,limit,2015-10-23,am,600,81.66,5.00,0.00,5.00,F000016,600,81.66,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sh.603088-buy-2015-10-23-pm,sh.603088,buy,,2015-10-23,pm,2015-10-26,am,filled_limit_buy,800,60.97,60.97,True,filled,full_fill,limit,2015-10-26,am,800,60.97,5.00,0.00,5.00,F000017,800,60.97,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
