arm,order_id,symbol,side,live_date,live_session,limit_price,half_high,half_low,minute_day_high,minute_day_low,half_extremes_within_minute_range,finer_granularity_would_fill,other_session_high,other_session_low,halfday_verdict_conservative_miss,miss_attributable_to_this_session
SIG-old,sz.000159-buy-2019-07-01-am,sz.000159,buy,2019-07-01,pm,7.85,8.02,7.85,8.02,7.7,True,True,7.91,7.7,True,False
SIG-old,sz.000159-buy-2019-07-22-pm,sz.000159,buy,2019-07-23,am,6.5,6.74,6.5,6.890000000000001,6.5,True,False,6.89,6.71,False,True
SIG-old,sz.000159-sell/risk-2019-07-31-pm,sz.000159,sell,2019-08-01,am,6.75,6.73,6.59,6.91,6.59,True,True,6.91,6.61,True,False
SIG-old,sh.601997-buy-2019-08-15-pm,sh.601997,buy,2019-08-16,am,8.03,8.14,8.03,8.14,8.03,True,False,8.13,8.07,False,True
SIG-old,sh.601990-buy-2019-08-30-pm,sh.601990,buy,2019-09-02,am,7.46,7.66,7.47,7.73,7.47,True,False,7.73,7.61,False,True
SIG-old,sh.600242-sell/risk-2019-10-31-pm,sh.600242,sell,2019-11-01,am,8.88,8.19,7.99,8.73,7.99,True,False,8.73,7.99,False,True
SIG-old,sh.600052-buy-2019-11-29-pm,sh.600052,buy,2019-12-02,am,4.16,4.23,4.16,4.23,4.12,True,True,4.18,4.12,True,False
SIG-old,sh.603978-sell/risk-2019-11-29-pm,sh.603978,sell,2019-12-02,am,26.98,26.74,25.95,26.740000000000002,25.79,True,False,26.07,25.79,False,True
SIG-old,sz.000998-buy-2019-12-31-pm,sz.000998,buy,2020-01-02,am,14.71,16.18,15.05,16.18,15.05,True,False,16.18,15.88,False,True
SIG-old,sz.002385-buy-2019-12-31-pm,sz.002385,buy,2020-01-02,am,4.98,5.48,5.48,5.48,5.48,True,False,5.48,5.48,False,True
SIG-old,sz.000998-buy-2020-01-02-am,sz.000998,buy,2020-01-02,pm,15.88,16.18,15.88,16.18,15.05,True,True,16.18,15.05,True,False
SIG-old,sz.002385-buy-2020-01-02-am,sz.002385,buy,2020-01-02,pm,5.48,5.48,5.48,5.48,5.48,True,False,5.48,5.48,False,True
SIG-old,sz.000998-buy-2020-01-02-pm,sz.000998,buy,2020-01-03,am,16.18,17.8,17.8,17.8,17.8,True,False,17.8,17.8,False,True
SIG-old,sz.002385-buy-2020-01-02-pm,sz.002385,buy,2020-01-03,am,5.48,6.03,6.03,6.03,6.03,True,False,6.03,6.03,False,True
SIG-old,sz.000998-buy-2020-01-03-am,sz.000998,buy,2020-01-03,pm,17.8,17.8,17.8,17.8,17.8,True,False,17.8,17.8,False,True
SIG-old,sz.002385-buy-2020-01-03-am,sz.002385,buy,2020-01-03,pm,6.03,6.03,6.03,6.03,6.03,True,False,6.03,6.03,False,True
SIG-old,sz.000998-buy-2020-01-03-pm,sz.000998,buy,2020-01-06,am,17.8,19.58,19.58,19.580000000000002,19.580000000000002,True,False,19.58,19.58,False,True
SIG-old,sz.002385-buy-2020-01-03-pm,sz.002385,buy,2020-01-06,am,6.03,6.63,6.63,6.63,6.63,True,False,6.63,6.63,False,True
SIG-old,sz.000998-buy-2020-01-06-am,sz.000998,buy,2020-01-06,pm,19.58,19.58,19.58,19.580000000000002,19.580000000000002,True,False,19.58,19.58,False,True
SIG-old,sz.002385-buy-2020-01-06-am,sz.002385,buy,2020-01-06,pm,6.63,6.63,6.63,6.63,6.63,True,False,6.63,6.63,False,True
SIG-old,sz.002385-buy-2020-01-06-pm,sz.002385,buy,2020-01-07,am,6.63,7.29,7.29,7.29,7.29,True,False,7.29,7.29,False,True
SIG-old,sz.002385-buy-2020-01-07-am,sz.002385,buy,2020-01-07,pm,7.29,7.29,7.29,7.29,7.29,True,False,7.29,7.29,False,True
SIG-old,sz.002385-buy-2020-01-07-pm,sz.002385,buy,2020-01-08,am,7.29,8.02,8.02,8.02,8.02,True,False,8.02,8.02,False,True
SIG-old,sz.002385-buy-2020-01-08-am,sz.002385,buy,2020-01-08,pm,8.02,8.02,8.02,8.02,8.02,True,False,8.02,8.02,False,True
SIG-old,sz.002385-sell/risk-2020-01-23-pm,sz.002385,sell,2020-02-03,am,5.85,5.27,5.27,5.2700000000000005,5.2700000000000005,True,False,5.27,5.27,False,True
SIG-old,sh.600277-sell/risk-2020-01-23-pm,sh.600277,sell,2020-02-03,am,4.13,3.72,3.72,3.72,3.72,True,False,3.72,3.72,False,True
SIG-old,sh.600425-sell/risk-2020-01-23-pm,sh.600425,sell,2020-02-03,am,3.75,3.38,3.38,3.38,3.38,True,False,3.38,3.38,False,True
SIG-old,sz.000998-sell/risk-2020-01-23-pm,sz.000998,sell,2020-02-03,am,17.97,16.17,16.17,16.17,16.17,True,False,16.17,16.17,False,True
SIG-old,sh.600277-sell/risk-2020-02-03-am,sh.600277,sell,2020-02-03,pm,3.72,3.72,3.72,3.72,3.72,True,False,3.72,3.72,False,True
SIG-old,sh.600425-sell/risk-2020-02-03-am,sh.600425,sell,2020-02-03,pm,3.38,3.38,3.38,3.38,3.38,True,False,3.38,3.38,False,True
SIG-old,sz.000998-sell/risk-2020-02-03-am,sz.000998,sell,2020-02-03,pm,16.17,16.17,16.17,16.17,16.17,True,False,16.17,16.17,False,True
SIG-old,sz.002385-sell/risk-2020-02-03-am,sz.002385,sell,2020-02-03,pm,5.27,5.27,5.27,5.2700000000000005,5.2700000000000005,True,True,5.27,5.27,True,True
SIG-old,sh.600277-sell/risk-2020-02-03-pm,sh.600277,sell,2020-02-04,am,3.72,3.59,3.35,3.59,3.35,True,False,3.55,3.43,False,True
SIG-old,sh.600425-sell/risk-2020-02-03-pm,sh.600425,sell,2020-02-04,am,3.38,3.32,3.04,3.34,3.04,True,False,3.34,3.23,False,True
SIG-old,sz.000998-sell/risk-2020-02-03-pm,sz.000998,sell,2020-02-04,am,16.17,15.78,14.85,16.67,14.85,True,True,16.67,15.66,True,False
SIG-old,sz.002385-sell/risk-2020-02-03-pm,sz.002385,sell,2020-02-04,am,5.27,5.22,4.78,5.48,4.78,True,True,5.48,5.13,True,False
SIG-old,sz.002783-sell/risk-2020-02-11-am,sz.002783,sell,2020-02-11,pm,11.18,11.18,11.18,11.18,9.98,True,False,11.18,9.98,False,True
SIG-old,sh.600546-sell/risk-2020-02-12-am,sh.600546,sell,2020-02-12,pm,10.34,10.34,10.34,10.34,9.950000000000001,True,False,10.34,9.95,False,True
SIG-old,sz.000936-sell/profit-2020-02-20-am,sz.000936,sell,2020-02-20,pm,9.8,9.8,9.8,9.8,8.91,True,False,9.8,8.91,False,True
SIG-old,sz.000936-sell/profit-2020-02-24-am,sz.000936,sell,2020-02-24,pm,11.11,11.11,10.73,11.290000000000001,10.200000000000001,True,True,11.29,10.2,True,False
SIG-old,sz.000936-sell/risk-2020-02-24-pm,sz.000936,sell,2020-02-25,am,10.98,10.98,9.88,10.98,9.88,True,False,10.76,10.31,False,True
SIG-old,sh.603611-buy-2020-02-28-pm,sh.603611,buy,2020-03-02,am,18.91,19.79,19.17,19.8,19.17,True,False,19.8,19.55,False,True
SIG-old,sz.000040-buy-2020-02-28-pm,sz.000040,buy,2020-03-02,am,3.47,3.63,3.51,3.68,3.5100000000000002,True,False,3.68,3.6,False,True
