family,symbol,day,category,sig_ret_20,pool_med_20,pool_mean_20,elig_ctrl_20,fill_day,trig_to_fill,post_fill_ret_20
B2,sz.000555,2019-10-29,unmatched,-0.21307189542483684,-0.04437869822485263,-0.03867862651655629,,,,
B2,sz.002475,2019-10-29,unmatched,0.0036166365280287938,-0.04437869822485263,-0.03867862651655629,,,,
B2,sz.002609,2019-10-29,unmatched,-0.1644398766700923,-0.04437869822485263,-0.03867862651655629,,,,
B2,sz.002351,2019-10-30,unmatched,0.2628262826282626,-0.03304773561811514,-0.026706012387929422,,,,
B2,sz.002683,2019-10-30,unmatched,-0.0007220216606493857,-0.03304773561811514,-0.026706012387929422,,,,
B2,sz.002197,2019-10-31,unmatched,-0.06928104575163352,-0.026792179580014897,-0.020101091293143813,,,,
B2,sz.002241,2019-10-31,unmatched,0.05328310010764259,-0.026792179580014897,-0.020101091293143813,,,,
B2,sz.002562,2019-10-31,unmatched,-0.0682730923694782,-0.026792179580014897,-0.020101091293143813,,,,
B2,sz.002733,2019-10-31,unmatched,0.0125000000000004,-0.026792179580014897,-0.020101091293143813,,,,
B2,sz.002544,2019-11-01,unmatched,-0.08734939759036164,-0.03820224719101084,-0.03129534731659785,,,,
B2,sz.002669,2019-11-01,unmatched,-0.10379550735863718,-0.03820224719101084,-0.03129534731659785,,,,
B2,sh.603456,2019-11-01,unmatched,-0.10507757404795492,-0.03820224719101084,-0.03129534731659785,,,,
B2,sz.002028,2019-11-01,unmatched,0.11102362204724447,-0.03820224719101084,-0.03129534731659785,,,,
B2,sz.002369,2019-11-01,unmatched,0.06424242424242377,-0.03820224719101084,-0.03129534731659785,,,,
B2,sz.002458,2019-11-04,unmatched,-0.1399883585564612,-0.04084321475625807,-0.03520659018147537,,,,
B2,sz.002568,2019-11-04,unmatched,-0.10590277777777801,-0.04084321475625807,-0.03520659018147537,,,,
B2,sh.600020,2019-11-05,unmatched,-0.03271028037383261,-0.03935185185185197,-0.033115985322594035,,,,
B2,sh.600777,2019-11-05,unmatched,-0.04265402843601829,-0.03935185185185197,-0.033115985322594035,,,,
