dataset,dir,family,shape,n_chunks,date_first,date_last,dev_days,val_days,days_2025plus,sample_cols,pit_fields,sample_symbols,sampled,sample_date_first,sample_date_last
xiaodefa/idx_factor_pro,D:\量化\data\raw\xiaodefa\idx_factor_pro,量价/指数因子,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""open"", ""high"", ""low"", ""close"", ""pre_close"", ""change"", ""pct_change"", ""vol"", ""amount"", ""asi_bfq"", ""asit_bfq"", ""atr_bfq""]",[],3700,,,
xiaodefa/ths_daily,D:\量化\data\raw\xiaodefa\ths_daily,行业/同花顺,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""close"", ""open"", ""high"", ""low"", ""pre_close"", ""avg_price"", ""change"", ""pct_change"", ""vol"", ""turnover_rate""]",[],2200,,,
xiaodefa/dc_daily,D:\量化\data\raw\xiaodefa\dc_daily,行业/东财,date_chunks,1624,20200102,20260911,243,969,412,"[""ts_code"", ""trade_date"", ""close"", ""open"", ""high"", ""low"", ""change"", ""pct_change"", ""vol"", ""amount"", ""swing"", ""turnover_rate"", ""category""]",[],1050,,,
xiaodefa/ci_daily,D:\量化\data\raw\xiaodefa\ci_daily,行业/中证,date_chunks,2757,20140102,20250508,1462,969,81,"[""ts_code"", ""trade_date"", ""open"", ""low"", ""high"", ""close"", ""pre_close"", ""change"", ""pct_change"", ""vol"", ""amount""]",[],583,,,
xiaodefa/sw_daily,D:\量化\data\raw\xiaodefa\sw_daily,行业/申万,date_chunks,3086,20140102,20260911,1461,969,412,"[""trade_date"", ""ts_code"", ""amount"", ""change"", ""close"", ""float_mv"", ""high"", ""low"", ""name"", ""open"", ""pb"", ""pct_change"", ""pe"", ""total_mv""]",[],456,,,
xiaodefa/hk_hold,D:\量化\data\raw\xiaodefa\hk_hold,资金面/港股通,date_chunks,2284,20170103,20260911,948,942,394,"[""code"", ""trade_date"", ""ts_code"", ""name"", ""vol"", ""ratio"", ""exchange""]",[],3428,,,
xiaodefa/ccass_hold,D:\量化\data\raw\xiaodefa\ccass_hold,资金面/港股通,date_chunks,1384,20201111,20260911,36,941,407,"[""trade_date"", ""ts_code"", ""name"", ""shareholding"", ""hold_nums"", ""hold_ratio""]",[],8497,,,
xiaodefa/ggt_daily,D:\量化\data\raw\xiaodefa\ggt_daily,资金面/港股通,date_chunks,2701,20141117,20260911,1363,908,402,"[""trade_date"", ""buy_amount"", ""buy_volume"", ""sell_amount"", ""sell_volume""]",[],0,,,
xiaodefa/limit_list_d,D:\量化\data\raw\xiaodefa\limit_list_d,涨跌停/清单,date_chunks,1624,20200102,20260911,243,969,412,"[""trade_date"", ""ts_code"", ""industry"", ""name"", ""close"", ""pct_chg"", ""amount"", ""limit_amount"", ""float_mv"", ""total_mv"", ""turnover_ratio"", ""fd_amount"", ""first_time"", ""last_time""]",[],223,,,
xiaodefa/daily_info,D:\量化\data\raw\xiaodefa\daily_info,参考/日信息,date_chunks,3088,20140102,20260911,1462,969,412,"[""trade_date"", ""ts_code"", ""ts_name"", ""com_count"", ""total_share"", ""float_share"", ""total_mv"", ""float_mv"", ""amount"", ""vol"", ""trans_count"", ""pe"", ""tr"", ""exchange""]",[],32,,,
